date,% Iron Feed,% Silica Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 03 Air Flow,Flotation Column 04 Air Flow,Flotation Column 05 Air Flow,Flotation Column 06 Air Flow,Flotation Column 07 Air Flow,Flotation Column 01 Level,Flotation Column 02 Level,Flotation Column 03 Level,Flotation Column 04 Level,Flotation Column 05 Level,Flotation Column 06 Level,Flotation Column 07 Level,% Iron Concentrate,% Silica Concentrate
3/29/2017 12:00,60.18,9.34,1060.859297,379.8362028,400.9825389,9.527187167,1.550374191,200.0358389,195.5777,199.9837167,295.096,306.4,250.0697222,249.9929556,753.7242474,726.5594374,860.5578181,477.3491972,452.5125222,478.2196472,470.1055472,66.44,1.36
3/29/2017 13:00,60.18,9.34,2034.926525,322.233975,400.4689472,9.700679444,1.532016559,199.9901222,195.10625,199.7653444,295.096,306.4,250.0290556,250.0597111,848.6755031,777.7844371,869.4194208,483.8161306,469.4481722,471.607075,462.6654778,66.57,1.43
3/29/2017 14:00,60.18,9.34,1435.425811,474.6563222,399.1570833,9.687787556,1.645199556,200.0193111,195.6049278,199.9258,295.096,306.4,249.9793556,250.1113278,851.9514916,776.2936544,879.7049889,456.1472306,453.227,447.7084667,453.4756667,66.64,1.33
3/29/2017 15:00,60.18,9.34,618.4603871,396.3777333,398.9425222,9.851689333,1.55992878,199.9408333,195.6570944,200.0443389,295.096,306.4,249.9785889,250.0285056,855.9106302,780.3698691,882.0938961,449.4107444,448.5815056,450.6975778,448.6600944,66.41,1.27
3/29/2017 16:00,59.54,9.56,1367.502858,317.1340722,400.8362833,9.936163333,1.530983554,199.8789222,196.1628639,199.9054667,295.096,306.4,250.0616611,250.1220667,851.6035129,784.4460839,884.8406983,450.12305,451.7746944,451.5744222,449.4068944,63.63,5.5
3/29/2017 17:00,59.54,9.56,1729.41271,410.9787167,400.0360944,9.477018056,1.567738889,199.9061833,195.2356333,200.0275944,295.096,306.4,250.0245333,250.0531833,847.60224,803.1982987,869.1788236,431.9779167,452.8779694,462.79035,449.5860278,66.19,1.64
3/29/2017 18:00,59.54,9.56,1639.599185,460.2168056,399.2553611,9.604896944,1.626785667,199.9013389,195.5468889,199.8719389,295.096,306.4,249.99735,250.0764333,856.026051,820.4410666,883.4085181,336.0238139,449.69535,452.2068889,449.9734361,66.26,1.46
3/29/2017 19:00,59.54,9.56,1913.013778,495.2350556,399.9483167,9.558474611,1.673499556,199.8669056,195.5666056,200.0534611,295.096,306.4,250.0070333,250.0362,855.863222,818.4811348,882.9909886,559.4628167,556.9675056,518.0528667,523.231725,66.28,1.69
3/29/2017 20:00,59.54,9.56,2033.815739,500.4931722,400.5124833,9.279860222,1.682863944,199.8981889,195.3800278,199.8604667,295.096,306.4,250.06775,250.0157889,855.7003931,816.5212031,883.0138111,589.5073472,601.7241111,549.2018778,548.9722444,64.13,1.81
3/29/2017 21:00,59.54,9.56,2213.602722,530.6425722,400.3550333,9.588319833,1.721673833,199.8808222,195.3748278,199.9188722,295.096,306.4,250.0175611,250.2133556,855.5375641,814.5612713,884.3856993,589.1645472,603.1319333,549.1781,552.9521778,65.88,1.71
