iter	Logloss
0	0.6761135373
1	0.6510899014
2	0.6254001428
3	0.6033029861
4	0.5897431722
5	0.5791314962
6	0.5585246123
7	0.5436462703
8	0.5308887474
9	0.5115579166
10	0.496313865
11	0.4842960238
12	0.4713852462
13	0.4574606451
14	0.4488695569
15	0.4390365881
16	0.4256829722
17	0.417252639
18	0.4053599364
19	0.3989845641
20	0.3913706002
21	0.3817125848
22	0.3726768935
23	0.3682002594
24	0.3603109503
25	0.3547202213
26	0.3481242922
27	0.3404397773
28	0.3365363744
29	0.3288848086
30	0.3235937907
31	0.3209458451
32	0.3186171234
33	0.314426403
34	0.3081481335
35	0.3015454662
36	0.298517051
37	0.2924005393
38	0.2883124766
39	0.2854786882
40	0.2833681168
41	0.2813905253
42	0.280157649
43	0.2768867577
44	0.2756673579
45	0.2747810796
46	0.2702092879
47	0.2681218993
48	0.2665088743
49	0.263893156
50	0.260689246
51	0.2575524977
52	0.2539006354
53	0.2512321744
54	0.2493112763
55	0.2474870598
56	0.2461506233
57	0.244738502
58	0.241706457
59	0.2400706504
60	0.2377247021
61	0.2356221123
62	0.2342627337
63	0.2330535415
64	0.2309807323
65	0.2292787065
66	0.2263148661
67	0.2254092755
68	0.2243052881
69	0.2218688549
70	0.2209414452
71	0.2198431532
72	0.2177327021
73	0.2168364167
74	0.2149817979
75	0.214068687
76	0.2127015073
77	0.2107462362
78	0.2094059693
79	0.2084279026
80	0.2064761008
81	0.2058230135
82	0.2048390709
83	0.2039578061
84	0.203324352
85	0.2027048756
86	0.2022112398
87	0.2016003467
88	0.2002038476
89	0.1994662516
90	0.1986979526
91	0.1979334638
92	0.1967576419
93	0.1960531756
94	0.1952585051
95	0.1945595738
96	0.1933822679
97	0.1927588208
98	0.1922622771
99	0.1916636171
100	0.1906853699
101	0.1899263359
102	0.189343619
103	0.1882520651
104	0.1871109773
105	0.1862814525
106	0.1858853406
107	0.1846690893
108	0.1841562816
109	0.1831668241
110	0.1828009741
111	0.1823618257
112	0.1817598768
113	0.1813109018
114	0.1808661583
115	0.1802456792
116	0.1800499696
117	0.1791597005
118	0.1783874507
119	0.177982896
120	0.1768327636
121	0.1762640647
122	0.1755878347
123	0.1745919999
124	0.1737955045
125	0.1729987886
126	0.1726228312
127	0.1722508045
128	0.1717360114
129	0.1711173773
130	0.1704759415
131	0.1695017252
132	0.1688025933
133	0.168448455
134	0.1677968216
135	0.1670384494
136	0.1666112133
137	0.1658281242
138	0.1652922741
139	0.164801486
140	0.1644014134
141	0.1637379881
142	0.1628687258
143	0.1624934202
144	0.162204017
145	0.1620629653
146	0.1615299831
147	0.1610047618
148	0.16055698
149	0.1600911394
150	0.1597139186
151	0.1593181376
152	0.1590659452
153	0.1585974674
154	0.1580231433
155	0.1572728329
156	0.156747391
157	0.1563799567
158	0.1560562006
159	0.1557206325
160	0.1551762393
161	0.1543255272
162	0.1541155189
163	0.1536617209
164	0.1533755766
165	0.1528437073
166	0.1523305587
167	0.1518343258
168	0.1513992585
169	0.1508171232
170	0.1504611399
171	0.1501676757
172	0.1499064789
173	0.1493970905
174	0.1491679404
175	0.1489178737
176	0.1484912993
177	0.1483808103
178	0.1479979342
179	0.1475583547
180	0.1472425702
181	0.1468982384
182	0.146509717
183	0.1463414216
184	0.1456705361
185	0.1455370349
186	0.1450920908
187	0.1448450423
188	0.1445941132
189	0.1445644831
190	0.1439796204
191	0.1436363715
192	0.1431552395
193	0.1427398254
194	0.142483963
195	0.1421566272
196	0.1417379442
197	0.141396771
198	0.1411109976
199	0.141003226
200	0.1407047583
201	0.1404035232
202	0.1402343654
203	0.1401384458
204	0.1396675115
205	0.1392482068
206	0.1391308592
207	0.1389663842
208	0.1385558833
209	0.1381972729
210	0.1372568981
211	0.137015164
212	0.1367194538
213	0.1364536345
214	0.1361470548
215	0.135833737
216	0.1354048163
217	0.1350527736
218	0.134905485
219	0.1346657563
220	0.1345510058
221	0.134123529
222	0.1339095299
223	0.1334344443
224	0.1332954682
225	0.1328849774
226	0.1322805217
227	0.1319180207
228	0.1313224691
229	0.1310337077
230	0.1307347587
231	0.1303574477
232	0.129965868
233	0.1294428026
